metric,value
accuracy,0.18
macro_avg_f1,0.015239574090505767
admiration_f1,0.0
amusement_f1,0.0
anger_f1,0.0
annoyance_f1,0.0
approval_f1,0.0
caring_f1,0.0
confusion_f1,0.0
curiosity_f1,0.0
desire_f1,0.0
disappointment_f1,0.0
disapproval_f1,0.05714285714285714
disgust_f1,0.0
embarrassment_f1,0.0
excitement_f1,0.0
fear_f1,0.0
gratitude_f1,0.0
grief_f1,0.0
joy_f1,0.0
love_f1,0.0
nervousness_f1,0.0
neutral_f1,0.0
optimism_f1,0.0
pride_f1,0.0
realization_f1,0.0
relief_f1,0.0
remorse_f1,0.0
sadness_f1,0.0
surprise_f1,0.3695652173913043
precision,0.014862637362637363
recall,0.03862433862433863
f1_score,0.021335403726708075
prediction_mean,20.83
prediction_std,8.760199769411654
pred_count_0,2
pred_count_1,1
pred_count_4,2
pred_count_10,28
pred_count_13,1
pred_count_26,1
pred_count_27,65
prediction_latency,0.020639657974243164
cpu_usage,35.6
memory_usage,12.5
